CIP1990,CIPTITLE1990,CIP2000,CIPTITLE2000
,,22.02,Legal Research and Advanced Professional Studies (Post-LL.B./J.D.) (NEW)
,,22.0201,"Advanced Legal Research/Studies, General (LL.M., M.C.L., M.L.I., M.S.L., J.S.D./S.J.D.)(NEW)"
,,22.0202,"Programs for Foreign Lawyers (LL.M., M.C.L.) (NEW)"
,,22.0203,"American/U.S. Law/Legal Studies/Jurisprudence (LL.M.,M.C.J., J.S.D./S.J.D.) (NEW)"
,,22.0204,"Canadian Law/Legal Studies/Jurisprudence (LL.M., M.C.J., J.S.D./S.J.D.). (NEW)"
,,22.0205,"Banking, Corporate, Finance, and Securities Law (LL.M., J.S.D), S.L.J) (NEW)"
,,22.0206,"Comparative Law (LL.M., M.C.L., J.S.D./S.J.D.) (NEW)"
,,22.0207,"Energy, Environment, and Natural Resources Law (LL.M., M.S.,J.S.D./S.J.D.) (NEW)"
,,22.0208,"Health Law (LL.M., M.J., J.S.D./S.J.D.) (NEW)"
,,22.0209,"International Law and Legal Studies (LL.M., J.S.D./S.J.D.) (NEW)"
,,22.0210,"International Business, Trade, and Tax Law (LL.M., J.S.D./S.J.D.) (NEW)"
,,22.0211,"Tax Law/Taxation (LL.M, J.S.D./S.J.D.) (NEW)"
,,22.0299,"Legal Research and Advanced Professional Studies, Other (NEW)"
,,22.03,Legal Support Services (NEW)
,,22.0399,"Legal Support Services, Other (NEW)"
,,22.99,"Legal Professions and Studies, Other (NEW)"
,,22.9999,"Legal Professions and Studies, Other (NEW)"
23,ENGLISH LANGUAGE AND LITERATURE/LETTERS,23.,ENGLISH LANGUAGE AND LITERATURE/LETTERS
23.01,"English Language and Literature, General",23.01,"English Language and Literature, General"
23.0101,"English Language and Literature, General",23.0101,"English Language and Literature, General"
23.03,Comparative Literature,,Deleted
23.0301,Comparative Literature,16.0104,Comparative Literature
23.04,English Composition,23.04,English Composition
23.0401,English Composition,23.0401,English Composition
23.05,English Creative Writing,23.05,Creative Writing
23.0501,English Creative Writing,23.0501,Creative Writing
23.07,"American Literature, United States",23.07,American Literature (United States and Canadian)
23.0701,American Literature (United States),23.0701,American Literature (United States)
,,23.0702,American Literature (Canadian) (NEW)
23.08,English Literature (British and Commonwealth),23.08,English Literature (British and Commonwealth)
23.0801,English Literature (British and Commonwealth),23.0801,English Literature (British and Commonwealth)
23.10,Speech and Rhetorical Studies,23.10,Speech and Rhetorical Studies
23.1001,Speech and Rhetorical Studies,23.1001,Speech and Rhetorical Studies
23.11,English Technical and Business Writing,23.11,Technical and Business Writ­ing
23.1101,English Technical and Business Writing,23.1101,Technical and Business Writ­ing
23.99,"English Language and Literature/Letters, Other",23.99,"English Language and Literature/Letters, Other"
23.9999,"English Language and Literature/Letters, Other",23.9999,"English Language and Literature/Letters, Other"
24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",24.,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES"
24.01,"Liberal Arts and Sciences, General Studies and Humanities",24.01,"Liberal Arts and Sciences, General Studies and Humanities"
24.0101,Liberal Arts and Sciences/Liberal Studies,24.0101,Liberal Arts and Sciences/Liberal Studies
24.0102,General Studies,24.0102,General Studies
24.0103,Humanities/Humanistic Studies,24.0103,Humanities/Humanistic Studies
24.0199,"Liberal Art and Sciences, General Studies and Humanities, Other",24.0199,"Liberal Arts and Sciences, General Studies and Humanities, Other"
25,LIBRARY SCIENCE,25.,LIBRARY SCIENCE
25.01,Library Science/Librarianship,25.01,Library Science/Librarianship
25.0101,Library Science/Librarianship,25.0101,Library Science/Librarianship
25.03,Library Assistant,25.03,Library Assistant
25.0301,Library Assistant,25.0301,Library Assistant/Technician
25.99,"Library Science, Other",25.99,"Library Science, Other"
25.9999,"Library Science, Other",25.9999,"Library Science, Other"
26,BIOLOGICAL SCIENCES/LIFE SCIENCES,26.,BIOLOGICAL AND BIOMEDICAL SCIENCES
26.01,"Biology, General",26.01,"Biology, General"
26.0101,"Biology, General",26.0101,"Biology/Biological Sciences, General"
,,26.0102,"Biomedical Sciences, General (NEW)"
26.02,Biochemistry and Biophysics,26.02,"Biochemistry, Biophysics and Molecular Biology"
26.0202,Biochemistry,26.0202,Biochemistry
26.0203,Biophysics,26.0203,Biophysics
,,26.0205,Molecular Biochemistry (NEW)
,,26.0206,Molecular Biophysics (NEW)
,,26.0207,Structural Biology (NEW)
,,26.0208,Photobiology (NEW)
,,26.0210,Biochemistry/Biophysics and Molecular Biology(NEW)
,,26.0299,"Biochemistry, Biophysics and Molecular Biology, Other (NEW)"
26.03,Botany,26.03,Botany/Plant Biology
26.0301,"Botany, General",26.0301,Botany/Plant Biology
26.0305,Plant Pathology,26.0305,Plant Pathology/Phytopathology
26.0307,Plant Physiology,26.0307,Plant Physiology
,,26.0308,Plant Molecular Biology (NEW)
26.0399,"Botany, Other",26.0399,"Botany/Plant Biology, Other"
26.04,Cell and Molecular Biology,26.04,Cell/Cellular Biology and Anatomical Sciences
26.0401,Cell Biology,26.0401,Cell/Cellular Biology and Histology
26.0402,Molecular Biology,26.0204,Molecular Biology
,,26.0404,Developmental Biology and Embryology (NEW)
,,26.0405,Neuroanatomy (NEW)
,,26.0406,Cell/Cellular and Molecular Biology (NEW)
,,26.0407,Cell Biology and Anatomy (NEW)
26.0499,"Cell and Molecular Biology, Other",26.0499,"Cell/Cellular Biology and Anatomical Sciences, Other"
26.05,Microbiology/Bacteriology,26.05,Microbiological Sciences and Immunology
26.0501,Microbiology/Bacteriology,26.0503,Medical Microbiology and Bacteriology (NEW)
,,26.0502,"Microbiology, General (NEW)"
,,26.0506,Mycology (NEW)
,,26.0599,"Microbiological Sciences and Immunology, Other (NEW)"
26.06,Miscellaneous Biological Specializations,,Deleted
26.0601,Anatomy,26.0403,Anatomy
26.0603,Ecology,26.1301,Ecology
26.0607,Marine/Aquatic Biology,26.1302,Marine Biology and Biological Oceanography
26.0608,Neuroscience,30.2401,Neuroscience
26.0609,Nutritional Sciences,30.1901,Nutrition Sciences
26.0610,Parasitology,26.0505,Parasitology
26.0611,Radiation Biology/Radiobiology,26.0209,Radiation Biology/ Radiobiology
26.0612,Toxicology,26.1004,Toxicology
26.0613,"Genetics, Plant and Animal",26.0804,Animal Genetics. (NEW)
,,26.0805,Plant Genetics (NEW)
26.0614,Biometrics,26.1101,Biometry/ Biometrics
26.0615,Biostatistics,26.1102,Biostatistics
26.0616,Biotechnology Research,26.1201,Biotechnology
26.0617,Evolutionary Biology,26.1303,Evolutionary Biology
26.0618,Biological Immunology,26.0507,Immunology
26.0619,Virology,26.0504,Virology
26.0699,"Miscellaneous Biological Specializations, Other",,Deleted
26.07,Zoology,26.07,Zoology/Animal Biology
26.0701,"Zoology, General",26.0701,Zoology/Animal Biology
26.0702,Entomology,26.0702,Entomology
26.0704,"Pathology, Human and Animal",26.0910,Pathology/Experimental Pathology (NEW)
26.0705,"Pharmacology, Human and Animal",26.1001,Pharmacology
26.0706,"Physiology, Human and Animal",26.0707,Animal Physiology. (NEW)
,,26.0901,"Physiology, General"
,,26.0708,Animal Behavior and Ethology (NEW)
,,26.0709,Wildlife Biology (NEW)
26.0799,"Zoology, Other",26.0799,"Zoology/Animal Biology, Other"
,,26.08,Genetics (NEW)
,,26.0801,"Genetics, General (NEW)"
,,26.0802,Molecular Genetics (NEW)
,,26.0803,Microbial and Eukaryotic Genetics (NEW)
,,26.0899,"Genetics, Other (NEW)"
,,26.09,"Physiology, Pathology, and Related Sciences (NEW)"
,,26.0901,"Physiology, General (NEW)"
,,26.0902,Molecular Physiology (NEW)
,,26.0903,Cell Physiology (NEW)
,,26.0904,Endocrinology (NEW)
,,26.0905,Reproductive Biology (NEW)
,,26.0906,Neurobiology and Neurophysiology (NEW)
,,26.0907,Cardiovascular Science (NEW)
,,26.0908,Exercise Physiology (NEW)
,,26.0909,Vision Science/Physiological Optics (NEW)
,,26.0911,Oncology and Cancer Biology (NEW)
,,26.0999,"Physiology, Pathology, and Related Sciences, Other (NEW)"
,,26.10,Pharmacology and Toxicology (NEW)
,,26.1002,Molecular Pharmacology (NEW)
,,26.1003,Neuropharmacology (NEW)
,,26.1005,Molecular Toxicology (NEW)
,,26.1006,Environmental Toxicology (NEW)
,,26.1007,Pharmacology and Toxicology (NEW)
,,26.1099,"Pharmacology and Toxicology, Other (NEW)"
,,26.11,Biomathematics and Bioinformatics (NEW)
,,26.1103,Bioinformatics (NEW)
,,26.1199,"Biomathematics and Bioinformatics, Other(NEW)"
,,26.12,Biotechnology (NEW)
,,26.13,"Ecology, Evolution and Population Biology(NEW)"
,,26.1304,Aquatic Biology/Limnology (NEW)
,,26.1305,Environmental Biology (NEW)
,,26.1306,Population Biology (NEW)
,,26.1307,Conservation Biology (NEW)
,,26.1308,Systematic Biology/Biological Systematics(NEW)
,,26.1310,Ecology and Evolutionary Biology (NEW)
26.99,"Biological Sciences/Life Sciences, Other",26.99,"Biological and Biomedical Sciences, Other"
26.9999,"Biological Sciences/Life Sciences, Other",26.9999,"Biological and Biomedical Sciences, Other"
27,MATHEMATICS,27.,MATHEMATICS AND STATISTICS
27.01,Mathematics,27.01,Mathematics
27.0101,Mathematics,27.0101,"Mathematics, General"
,,27.0102,Algebra and Number Theory (NEW)
,,27.0103,Analysis and Functional Analysis (NEW)
,,27.0104,Geometry/Geometric Analysis (NEW)
,,27.0105,Topology and Foundations (NEW)
,,27.0199,"Mathematics, Other (NEW)"
27.03,Applied Mathematics,27.03,Applied Mathematics
27.0301,"Applied Mathematics, General",27.0301,Applied Mathematics
27.0302,Operations Research,14.3701,Operations Research
,,27.0303,Computational Mathematics (NEW)
27.0399,"Applied Mathematics, Other",27.0399,"Applied Mathematics, Other"
27.05,Mathematical Statistics,27.05,Statistics
27.0501,Mathematical Statistics,27.0501,"Statistics, General"
,,27.0502,Mathematical Statistics and Probability (NEW)
,,27.0599,"Statistics, Other (NEW)"
27.99,"Mathematics, Other",27.99,"Mathematics and Statistics, Other"
27.9999,"Mathematics, Other",27.9999,"Mathematics and Statistics, Other"
29,MILITARY TECHNOLOGIES,29.,MILITARY TECHNOLOGIES
29.01,Military Technologies,29.01,Military Technologies
29.0101,Military Technologies,29.0101,Military Technologies
30,MULTI/INTERDISCIPLINARY STUDIES,30.,MULTI/INTERDISCIPLINARY STUDIES
30.01,Biological and Physical Sciences,30.01,Biological and Physical Sciences
30.0101,Biological and Physical Sciences,30.0101,Biological and Physical Sciences
30.05,Peace and Conflict Studies,30.05,Peace Studies and Conflict Resolution
30.0501,Peace and Conflict Studies,30.0501,Peace Studies and Conflict Resolution
30.06,Systems Science and Theory,30.06,Systems Science and Theory
30.0601,Systems Science and Theory,30.0601,Systems Science and Theory
30.08,Mathematics and Computer Science,30.08,Mathematics and Computer Science
30.0801,Mathematics and Computer Science,30.0801,Mathematics and Computer Science
30.10,Biopsychology,30.10,Biopsychology
30.1001,Biopsychology,30.1001,Biopsychology
30.11,Gerontology,30.11,Gerontology
30.1101,Gerontology,30.1101,Gerontology
30.12,"Historic Preservation, Conservation and Architectural History",30.12,Historic Preservation and Conservation
30.1201,"Historic Preservation, Conservation and Architectural History",30.1201,Historic Preservation and Conservation
,,30.1202,Cultural Resource Management and Policy Analysis (NEW)
,,30.1299,"Historic Preservation and Conservation, Other(NEW)"
30.13,Medieval and Renaissance Studies,30.13,Medieval and Renaissance Studies
30.1301,Medieval and Renaissance Studies,30.1301,Medieval and Renaissance Studies
30.14,Museology/Museum Studies,30.14,Museology/Museum Studies
30.1401,Museology/Museum Studies,30.1401,Museology/Museum Studies
30.15,"Science, Technology and Society",30.15,"Science, Technology and Society"
30.1501,"Science, Technology and Society",30.1501,"Science, Technology and Society"
,,30.16,Accounting and Computer Science (NEW)
,,30.1601,Accounting and Computer Science (NEW)
,,30.17,Behavioral Sciences (NEW)
,,30.1701,Behavioral Sciences (NEW)
,,30.18,Natural Sciences (NEW)
,,30.1801,Natural Sciences (NEW)
,,30.19,Nutrition Sciences (NEW)
,,30.20,International/Global Studies (NEW)
,,30.2101,Holocaust and Related Studies (NEW)
,,30.22,Classical and Ancient Studies (NEW)
,,30.2201,Ancient Studies/Civilization (NEW)
,,30.2202,"Classical, Ancient Mediterranean and Near Eastern Studies"
,,and,Archaeology (NEW)
,,30.23,Intercultural/Multicultural and Diversity Studies (NEW)
,,30.2301,Intercultural/Multicultural and Diversity Studies (NEW)
,,30.24,Neuroscience (NEW)
,,30.25,Cognitive Science (NEW)
,,30.2501,Cognitive Science (NEW)
30.99,"Multi/Interdisciplinary Studies, Other",30.99,"Multi-/Interdisciplinary Studies, Other"
30.9999,"Multi/Interdisciplinary Studies, Other",30.9999,"Multi-/Interdisciplinary Studies, Other"
31,"PARKS, RECREATION, LEISURE AND FITNESS STUDIES",31.,"PARKS, RECREATION, LEISURE AND FITNESS STUDIES"
31.01,"Parks, Recreation and Leisure Studies",31.01,"Parks, Recreation and Leisure Studies"
31.0101,"Parks, Recreation and Leisure Studies",31.0101,"Parks, Recreation and Leisure Studies"
31.03,"Parks, Recreation and Leisure Facilities Management",31.03,"Parks, Recreation and Leisure Facilities Management"
31.0301,"Parks, Recreation and Leisure Facilities Management",31.0301,"Parks, Recreation and Leisure Facilities Management"
31.05,Health and Physical Education/Fitness,31.05,Health and Physical Education/Fitness
31.0501,"Health and Physical Education, General",31.0501,"Health and Physical Education, General"
31.0502,Adapted Physical Education/Therapeutic Recreation,51.2309,Therapeutic Recreation/ Recreational Therapy
31.0503,Athletic Training and Sports Medicine,51.0913,Athletic Training/Trainer
31.0504,Sport and Fitness Administration/Management,31.0504,Sport and Fitness Administration/Management
31.0505,Exercise Sciences/Physiology and Kinesiology,31.0505,Kinesiology and Exercise Science
31.0506,Socio-Psychological Sports Studies,31.0599,"Health and Physical Education/Fitness, Other"
31.0599,"Health and Physical Education/Fitness, Other",31.0599,"Health and Physical Education/Fitness, Other"
31.99,"Parks, Recreation, Leisure and Fitness Studies, Other",31.99,"Parks, Recreation, Leisure and Fitness Studies, Other"
31.9999,"Parks, Recreation, Leisure and Fitness Studies, Other",31.9999,"Parks, Recreation, Leisure and Fitness Studies, Other"
38,PHILOSOPHY AND RELIGION,38.,PHILOSOPHY AND RELIGIOUS STUDIES
38.01,Philosophy,38.01,Philosophy
38.0101,Philosophy,38.0101,Philosophy
,,38.0102,Logic (NEW)
,,38.0103,Ethics (NEW)
,,38.0199,"Philosophy, Other (NEW)"
38.02,Religion/Religious Studies,38.02,Religion/Religious Studies
38.0201,Religion/Religious Studies,38.0201,Religion/Religious Studies
,,38.0202,Buddhist Studies (NEW)
,,38.0203,Christian Studies (NEW)
,,38.0204,Hindu Studies (NEW)
,,38.0205,Islamic Studies
,,38.0206,Jewish/Judaic Studies
,,38.0299,"Religion/Religious Studies, Other (NEW)"
38.99,"Philosophy and Religion, Other",38.99,"Philosophy and Religious Studies, Other"
38.9999,"Philosophy and Religion, Other",38.9999,"Philosophy and Religious Studies, Other"
39,THEOLOGICAL STUDIES AND RELIGIOUS VOCATIONS,39.,THEOLOGY AND RELIGIOUS VOCATIONS
39.01,Biblical and Other Theological Languages and Literatures,,Deleted
39.0101,Biblical and Other Theological Languages and Literatures,16.1103,"Ancient Near Eastern and Biblical Languages, Literatures and Linguistics (NEW)"
39.02,Bible/Biblical Studies,39.02,Bible/Biblical Studies
39.0201,Bible/Biblical Studies,39.0201,Bible/Biblical Studies
39.03,Missions/Missionary Studies and Missiology,39.03,Missions/Missionary Studies and Missiology
39.0301,Missions/Missionary Studies and Missiology,39.0301,Missions/Missionary Studies and Missiology
39.04,Religious Education,39.04,Religious Education
39.0401,Religious Education,39.0401,Religious Education
39.05,Religious/Sacred Music,39.05,Religious/Sacred Music
39.0501,Religious/Sacred Music,39.0501,Religious/Sacred Music
39.06,Theological and Ministerial Studies,39.06,Theological and Ministerial Studies
39.0601,Theology/Theological Studies,39.0601,Theology/Theological Studies
39.0602,"Divinity/Ministry (B.D., M.Div.)",39.0602,"Divinity/Ministry (BD, MDiv.)"
39.0603,Rabbinical and Talmudic Studies (M.H.L./Rav),39.0605,Rabbinical Studies (M. (NEW)
,,39.0606,Talmudic Studies (NEW)
39.0604,Pre-Theological/Pre-Ministerial Studies,39.0604,Pre-Theology/Pre-Ministerial Studies
39.0699,"Theological and Ministerial Studies, Other",39.0699,"Theological and Ministerial Studies, Other"
39.07,Pastoral Counseling and Specialized Ministries,39.07,Pastoral Counseling and Specialized Ministries
39.0701,Pastoral Counseling and Specialized Ministries,39.0701,Pastoral Studies/Counseling
,,39.0702,Youth Ministry (NEW)
,,39.0799,"Pastoral Counseling and Specialized Ministries, Other (NEW)"
39.99,"Theological Studies and Religious Vocations, Other",39.99,"Theology and Religious Vocations, Other"
39.9999,"Theological Studies and Religious Vocations, Other",39.9999,"Theology and Religious Vocations, Other"
40,PHYSICAL SCIENCES,40.,PHYSICAL SCIENCES
40.01,"Physical Sciences, General",40.01,Physical Sciences
40.0101,"Physical Sciences, General",40.0101,Physical Sciences
40.02,Astronomy,40.02,Astronomy and Astrophysics
40.0201,Astronomy,40.0201,Astronomy
,,40.0203,Planetary Astronomy and Science (NEW)
,,40.0299,"Astronomy and Astrophysics, Other (NEW)"
40.03,Astrophysics,,Deleted
40.0301,Astrophysics,40.0202,Astrophysics
40.04,Atmospheric Sciences and Meteorology,40.04,Atmospheric Sciences and Meteorology
40.0401,"Atmospheric Sciences and Meteorology, General",40.0401,"Atmospheric Sciences and Meteorology, General"
,,40.0402,Atmospheric Chemistry and Climatology(NEW)
,,40.0403,Atmospheric Physics and Dynamics (NEW)
,,40.0404,Meteorology (NEW)
,,40.0499,"Atmospheric Sciences and Meteorology, Other(NEW)"
40.05,Chemistry,40.05,Chemistry
40.0501,"Chemistry, General",40.0501,"Chemistry, General"
40.0502,Analytical Chemistry,40.0502,Analytical Chemistry
40.0503,Inorganic Chemistry,40.0503,Inorganic Chemistry
40.0504,Organic Chemistry,40.0504,Organic Chemistry
40.0505,Medicinal/Pharmaceutical Chemistry,51.2004,Medicinal and Pharmaceutical Chemistry
40.0506,Physical and Theoretical Chemistry,40.0506,Physical and Theoretical Chemistry
40.0507,Polymer Chemistry,40.0507,Polymer Chemistry
,,40.0508,Chemical Physics (NEW)
40.0599,"Chemistry, Other",40.0599,"Chemistry, Other"
40.06,Geological and Related Sciences,40.06,Geological and Earth Sciences/Geosciences
40.0601,Geology,40.0601,"Geology/Earth Science, General"
40.0602,Geochemistry,40.0602,Geochemistry
40.0603,Geophysics and Seismology,40.0603,Geophysics and Seismology
40.0604,Paleontology,40.0604,Paleontology
,,40.0605,Hydrology and Water Resources Science(NEW)
,,40.0606,Geochemistry and Petrology (NEW)
40.0699,"Geological and Related Sciences, Other",40.0699,"Geological and Earth Sciences/Geosciences, Other"
40.07,Miscellaneous Physical Sciences,,Deleted
40.0701,Metallurgy,40.9999,"Physical Sciences, Other"
40.0702,Oceanography,40.0607,"Oceanography, Chemical and Physical"
40.0703,Earth and Planetary Sciences,40.0601,"Geology/Earth Science, General"
40.0799,"Miscellaneous Physical Sciences, Other",40.9999,"Physical Sciences, Other"
40.08,Physics,40.08,Physics
40.0801,"Physics, General",40.0801,"Physics, General"
40.0802,Chemical and Atomic/Molecular Physics,40.0802,Atomic/Molecular Physics
40.0804,Elementary Particle Physics,40.0804,Elementary Particle Physics
40.0805,Plasma and High-Temperature Physics,40.0805,Plasma and High-Temperature Physics
40.0806,Nuclear Physics,40.0806,Nuclear Physics
40.0807,Optics,40.0807,Optics/Optical Sciences
40.0808,Solid State and Low-Temperature Physics,40.0808,Solid State and Low-Temperature Physics
40.0809,Acoustics,40.0809,Acoustics
40.0810,Theoretical and Mathematical Physics,40.0810,Theoretical and Mathematical Physics
40.0899,"Physics, Other",40.0899,"Physics, Other"
40.99,"Physical Sciences, Other",40.99,"Physical Sciences, Other"
40.9999,"Physical Sciences, Other",40.9999,"Physical Sciences, Other"
41,SCIENCE TECHNOLOGIES,41.,SCIENCE TECHNOLOGIES/TECHNICIANS
41.01,Biological Technology,41.01,Biology Technician/Biotechnology Laboratory Technician
41.0101,Biological Technology/Technician,41.0101,Biology Technician/Biotechnology Laboratory Technician
41.02,Nuclear and Industrial Radiologic Technologies,41.02,Nuclear and Industrial Radiologic Technologies/Technicians
41.0204,Industrial Radiologic Technology/Technician,41.0204,Industrial Radiologic Technology/Technician
41.0205,Nuclear/Nuclear Power Technology/Technician,41.0205,Nuclear/Nuclear Power Technology/Technician
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other",41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other"
41.03,Physical Science Technologies,41.03,Physical Science Technologies/Technicians
41.0301,Chemical Technology/Technician,41.0301,Chemical Technology/Technician
41.0399,"Physical Science Technologies/Technicians, Other",41.0399,"Physical Science Technologies/Technicians, Other"
41.99,"Science Technologies, Other",41.99,"Science Technologies/Technicians, Other"
41.9999,"Science Technologies/Technicians, Other",41.9999,"Science Technologies/Technicians, Other"
42,PSYCHOLOGY,42.,PSYCHOLOGY
42.01,Psychology,42.01,"Psychology, General"
42.0101,"Psychology, General",42.0101,"Psychology, General"
42.02,Clinical Psychology,42.02,Clinical Psychology
42.0201,Clinical Psychology,42.0201,Clinical Psychology
42.03,Cognitive Psychology and Psycholinguistics,42.03,Cognitive Psychology and Psycholinguistics
42.0301,Cognitive Psychology and Psycholinguistics,42.0301,Cognitive Psychology and Psycholinguistics
42.04,Community Psychology,42.04,Community Psychology
42.0401,Community Psychology,42.0401,Community Psychology
,,42.05,Comparative Psychology (NEW)
,,42.0501,Comparative Psychology (NEW)
42.06,Counseling Psychology,42.06,Counseling Psychology
42.0601,Counseling Psychology,42.0601,Counseling Psychology
42.07,Developmental and Child Psychology,42.07,Developmental and Child Psychology
42.0701,Developmental and Child Psychology,42.0701,Developmental and Child Psychology
42.08,Experimental Psychology,42.08,Experimental Psychology
42.0801,Experimental Psychology,42.0801,Experimental Psychology
42.09,Industrial and Organizational Psychology,42.09,Industrial and Organizational Psychology
42.0901,Industrial and Organizational Psychology,42.0901,Industrial and Organizational Psychology
,,42.10,Personality Psychology (NEW)
,,42.1001,Personality Psychology (NEW)
42.11,Physiological Psychology/Psychobiology,42.11,Physiological Psychology/Psychobiology
42.1101,Physiological Psychology/Psychobiology,42.1101,Physiological Psychology/Psychobiology
42.16,Social Psychology,42.16,Social Psychology
42.1601,Social Psychology,42.1601,Social Psychology
42.17,School Psychology,42.17,School Psychology
42.1701,School Psychology,42.1701,School Psychology
,,42.19,Psychometrics and Quantitative Psychology (NEW)
,,42.1901,Psychometrics and Quantitative Psychology(NEW)
,,42.20,Clinical Child Psychology (NEW)
,,42.2001,Clinical Child Psychology (NEW)
,,42.21,Environmental Psychology (NEW)
,,42.2101,Environmental Psychology (NEW)
,,42.22,Geropsychology (NEW)
,,42.2201,Geropsychology (NEW)
,,42.23,Health Psychology (NEW)
,,42.2301,Health/Medical Psychology (NEW)
,,42.24,Psychopharmacology (NEW)
,,42.2401,Psychopharmacology (NEW)
,,42.25,Family Psychology (NEW)
,,42.2501,Family Psychology (NEW)
,,42.26,Forensic Psychology (NEW)
,,42.2601,Forensic Psychology (NEW)
42.99,"Psychology, Other",42.99,"Psychology, Other"
42.9999,"Psychology, Other",42.9999,"Psychology, Other"
43,PROTECTIVE SERVICES,43.,SECURITY AND PROTECTIVE SERVICES
43.01,Criminal Justice and Corrections,43.01,Criminal Justice and Corrections
43.0102,Corrections/Correctional Administration,43.0102,Corrections
43.0103,Criminal Justice/Law Enforcement Administration,43.0103,Criminal Justice/Law Enforcement Administration
43.0104,Criminal Justice Studies,43.0104,Criminal Justice/Safety Studies
43.0106,Forensic Technology/Technician,43.0106,Forensic Science and Technology
43.0107,Law Enforcement/Police Science,43.0107,Criminal Justice/Police Science
43.0109,Security and Loss Prevention Services,43.0109,Security and Loss Prevention Services
,,43.0110,Juvenile Corrections (NEW)
,,43.0111,Criminalistics and Criminal Science (NEW)
,,43.0112,Securities Services Administration/Management(NEW)
,,43.0113,Corrections Administration (NEW)
43.0199,"Criminal Justice and Corrections, Other",43.0199,"Corrections and Criminal Justice, Other"
43.02,Fire Protection,43.02,Fire Protection
43.0201,Fire Protection and Safety Technology/Technician,43.0201,Fire Protection and Safety Technology/Technician
43.0202,Fire Services Administration,43.0202,Fire Services Administration
43.0203,Fire Science/Firefighting,43.0203,Fire Science/Firefighting
43.0299,"Fire Protection, Other",43.0299,"Fire Protection, Other"
43.99,"Protective Services, Other",43.99,"Security and Protective Services, Other"
43.9999,"Protective Services, Other",43.9999,"Security and Protective Services, Other"
44,PUBLIC ADMINISTRATION AND SERVICES,44.,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS
,,44.00,"Human Services, General (NEW)"
,,44.0000,"Human Services, General (NEW)"
44.02,"Community Organization, Resources and Services",44.02,Community Organization and Advocacy
44.0201,"Community Organization, Resources and Services",44.0201,Community Organization and Advocacy
44.04,Public Administration,44.04,Public Administration
44.0401,Public Administration,44.0401,Public Administration
44.05,Public Policy Analysis,44.05,Public Policy Analysis
44.0501,Public Policy Analysis,44.0501,Public Policy Analysis
44.07,Social Work,44.07,Social Work
44.0701,Social Work,44.0701,Social Work
,,44.0702,Youth Services/Administration (NEW)
,,44.0799,"Social Work, Other (NEW)"
44.99,"Public Administration and Services, Other",44.99,"Public Administration and Social Service Professions, Other"
44.9999,"Public Administration and Services, Other",44.9999,"Public Administration and Social Service Professions, Other"
45,SOCIAL SCIENCES AND HISTORY,45.,SOCIAL SCIENCES
45.01,"Social Sciences, General",45.01,"Social Sciences, General"
45.0101,"Social Sciences, General",45.0101,"Social Sciences, General"
45.02,Anthropology,45.02,Anthropology
45.0201,Anthropology,45.0201,Anthropology
,,45.0202,Physical Anthropology (NEW)
,,45.0299,"Anthropology, Other (NEW)"
45.03,Archeology,45.03,Archeology
45.0301,Archeology,45.0301,Archeology
45.04,Criminology,45.04,Criminology
45.0401,Criminology,45.0401,Criminology
45.05,Demography/Population Studies,45.05,Demography and Population Studies
45.0501,Demography/Population Studies,45.0501,Demography and Population Studies
45.06,Economics,45.06,Economics
45.0601,"Economics, General",45.0601,"Economics, General"
45.0602,Applied and Resource Economics,45.0602,Applied Economics
45.0603,Econometrics and Quantitative Economics,45.0603,Econometrics and Quantitative Economics
45.0604,Development Economics and International Development,45.0604,Development Economics and International Development
45.0605,International Economics,45.0605,International Economics
45.0699,"Economics, Other",45.0699,"Economics, Other"
45.07,Geography and Cartography,45.07,Geography and Cartography
45.0701,Geography,45.0701,Geography
45.0702,Cartography,45.0702,Cartography
,,45.0799,"Geography, Other (NEW)"
45.08,History,Report,Under 54.01 Series
45.0801,History General,54.0101,"History, General"
45.0802,American (United States) History,54.0102,American History United States
45.0803,European History,54.0103,European History
45.0804,History and Philosophy of Science and Technology,54.0104,History and Philosophy of Science/Technology
45.0805,Public/Applied History and Archival Administration,54.0105,Public/ Applied History and Archival Administration
,,54.0106,Asian History (NEW)
,,54.0107,Canadian History (NEW)
45.0899,"History, Other",54.0199,"History, Other"
45.09,International Relations and Affairs,45.09,International Relations and Affairs
45.0901,International Relations and Affairs,45.0901,International Relations and Affairs
45.10,Political Science and Government,45.10,Political Science and Government
45.1001,"Political Science and Government, General",45.1001,"Political Science and Government, General"
45.1002,American Government and Politics,45.1002,American Government and Politics (United States)
,,45.1003,Canadian Government and Politics (NEW)
45.1099,"Political Science and Government, Other",45.1099,"Political Science and Government, Other"
45.11,Sociology,45.11,Sociology
45.1101,Sociology,45.1101,Sociology
45.12,Urban Affairs/Studies,45.12,Urban Studies/Affairs
45.1201,Urban Affairs/Studies,45.1201,Urban Studies/Affairs
45.99,"Social Sciences and History, Other",45.99,"Social Sciences, Other"
