"CIPCode2000","CIPTitle2000","Action","Text change","CIPCode2010","CIPTitle2010"
="33.0104","Community Involvement.","No substantive changes",no,="33.0104","Community Involvement."
="33.0105","Canadian Citizenship Education.","No substantive changes",no,="33.0105","Canadian Citizenship Education."
="33.0199","Citizenship Activities, Other.","No substantive changes",no,="33.0199","Citizenship Activities, Other."
="34","HEALTH-RELATED KNOWLEDGE AND SKILLS.","No substantive changes",no,="34","HEALTH-RELATED KNOWLEDGE AND SKILLS."
="34.01","Health-Related Knowledge and Skills.","No substantive changes",no,="34.01","Health-Related Knowledge and Skills."
="34.0102","Birthing and Parenting Knowledge and Skills.","No substantive changes",no,="34.0102","Birthing and Parenting Knowledge and Skills."
="34.0103","Personal Health Improvement and Maintenance.","No substantive changes",no,="34.0103","Personal Health Improvement and Maintenance."
="34.0104","Addiction Prevention and Treatment.","No substantive changes",no,="34.0104","Addiction Prevention and Treatment."
="34.0199","Health-Related Knowledge and Skills, Other.","No substantive changes",no,="34.0199","Health-Related Knowledge and Skills, Other."
="35","INTERPERSONAL AND SOCIAL SKILLS.","No substantive changes",no,="35","INTERPERSONAL AND SOCIAL SKILLS."
="35.01","Interpersonal and Social Skills.","No substantive changes",no,="35.01","Interpersonal and Social Skills."
="35.0101","Interpersonal and Social Skills, General.","No substantive changes",no,="35.0101","Interpersonal and Social Skills, General."
="35.0102","Interpersonal Relationships Skills.","No substantive changes",no,="35.0102","Interpersonal Relationships Skills."
="35.0103","Business and Social Skills.","No substantive changes",no,="35.0103","Business and Social Skills."
="35.0199","Interpersonal Social Skills, Other.","No substantive changes",no,="35.0199","Interpersonal Social Skills, Other."
="36","LEISURE AND RECREATIONAL ACTIVITIES.","No substantive changes",no,="36","LEISURE AND RECREATIONAL ACTIVITIES."
="36.01","Leisure and Recreational Activities.","No substantive changes",no,="36.01","Leisure and Recreational Activities."
="36.0101","Leisure and Recreational Activities, General.","No substantive changes",no,="36.0101","Leisure and Recreational Activities, General."
="36.0102","Handicrafts and Model-Making.","No substantive changes",no,="36.0102","Handicrafts and Model-Making."
="36.0103","Board, Card and Role-Playing Games.","No substantive changes",no,="36.0103","Board, Card and Role-Playing Games."
="36.0105","Home Maintenance and Improvement.","No substantive changes",no,="36.0105","Home Maintenance and Improvement."
="36.0106","Nature Appreciation.","No substantive changes",no,="36.0106","Nature Appreciation."
="36.0107","Pet Ownership and Care.","No substantive changes",no,="36.0107","Pet Ownership and Care."
="36.0108","Sports and Exercise.","No substantive changes",no,="36.0108","Sports and Exercise."
="36.0109","Travel and Exploration.","No substantive changes",no,="36.0109","Travel and Exploration."
="36.0110","Art.","No substantive changes",no,="36.0110","Art."
="36.0111","Collecting.","No substantive changes",no,="36.0111","Collecting."
="36.0112","Cooking and Other Domestic Skills.","No substantive changes",no,="36.0112","Cooking and Other Domestic Skills."
="36.0113","Computer Games and Programming Skills.","No substantive changes",yes,="36.0113","Computer Games and Programming Skills."
="36.0114","Dancing.","No substantive changes",no,="36.0114","Dancing."
="36.0115","Music.","No substantive changes",no,="36.0115","Music."
="36.0116","Reading.","No substantive changes",no,="36.0116","Reading."
="36.0117","Theatre/Theater.","No substantive changes",no,="36.0117","Theatre/Theater."
="36.0118","Writing.","No substantive changes",no,="36.0118","Writing."
="36.0119","Aircraft Pilot (Private).","No substantive changes",no,="36.0119","Aircraft Pilot (Private)."
="36.0199","Leisure and Recreational Activities, Other.","No substantive changes",no,="36.0199","Leisure and Recreational Activities, Other."
="37","PERSONAL AWARENESS AND SELF-IMPROVEMENT.","No substantive changes",no,="37","PERSONAL AWARENESS AND SELF-IMPROVEMENT."
="37.01","Personal Awareness and Self-Improvement.","No substantive changes",no,="37.01","Personal Awareness and Self-Improvement."
="37.0101","Self-Awareness and Personal Assessment.","No substantive changes",no,="37.0101","Self-Awareness and Personal Assessment."
="37.0102","Stress Management and Coping Skills.","No substantive changes",no,="37.0102","Stress Management and Coping Skills."
="37.0103","Personal Decision-Making Skills.","No substantive changes",no,="37.0103","Personal Decision-Making Skills."
="37.0104","Self-Esteem and Values Clarification.","No substantive changes",no,="37.0104","Self-Esteem and Values Clarification."
="37.0199","Personal Awareness and Self-Improvement, Other.","No substantive changes",no,="37.0199","Personal Awareness and Self-Improvement, Other."
="38","PHILOSOPHY AND RELIGIOUS STUDIES.","No substantive changes",no,="38","PHILOSOPHY AND RELIGIOUS STUDIES."
"","","New",no,="38.00","Philosophy and Religious Studies, General."
"","","New",no,="38.0001","Philosophy and Religious Studies, General."
="38.01","Philosophy.","No substantive changes",no,="38.01","Philosophy."
="38.0101","Philosophy.","No substantive changes",no,="38.0101","Philosophy."
="38.0102","Logic.","No substantive changes",no,="38.0102","Logic."
="38.0103","Ethics.","No substantive changes",no,="38.0103","Ethics."
"","","New",no,="38.0104","Applied and Professional Ethics."
="38.0199","Philosophy, Other.","No substantive changes",no,="38.0199","Philosophy, Other."
="38.02","Religion/Religious Studies.","No substantive changes",no,="38.02","Religion/Religious Studies."
="38.0201","Religion/Religious Studies.","No substantive changes",no,="38.0201","Religion/Religious Studies."
="38.0202","Buddhist Studies.","No substantive changes",no,="38.0202","Buddhist Studies."
="38.0203","Christian Studies.","No substantive changes",no,="38.0203","Christian Studies."
="38.0204","Hindu Studies.","No substantive changes",no,="38.0204","Hindu Studies."
="38.0205","Islamic Studies.","No substantive changes",no,="38.0205","Islamic Studies."
="38.0206","Jewish/Judaic Studies.","No substantive changes",no,="38.0206","Jewish/Judaic Studies."
="38.0299","Religion/Religious Studies, Other.","No substantive changes",no,="38.0299","Religion/Religious Studies, Other."
="38.99","Philosophy and Religious Studies, Other.","No substantive changes",no,="38.99","Philosophy and Religious Studies, Other."
="38.9999","Philosophy and Religious Studies, Other.","No substantive changes",no,="38.9999","Philosophy and Religious Studies, Other."
="39","THEOLOGY AND RELIGIOUS VOCATIONS.","No substantive changes",no,="39","THEOLOGY AND RELIGIOUS VOCATIONS."
="39.02","Bible/Biblical Studies.","No substantive changes",no,="39.02","Bible/Biblical Studies."
="39.0201","Bible/Biblical Studies.","No substantive changes",no,="39.0201","Bible/Biblical Studies."
="39.03","Missions/Missionary Studies and Missiology.","No substantive changes",no,="39.03","Missions/Missionary Studies and Missiology."
="39.0301","Missions/Missionary Studies and Missiology.","No substantive changes",no,="39.0301","Missions/Missionary Studies and Missiology."
="39.04","Religious Education.","No substantive changes",no,="39.04","Religious Education."
="39.0401","Religious Education.","No substantive changes",no,="39.0401","Religious Education."
="39.05","Religious/Sacred Music.","No substantive changes",no,="39.05","Religious/Sacred Music."
="39.0501","Religious/Sacred Music.","No substantive changes",no,="39.0501","Religious/Sacred Music."
="39.06","Theological and Ministerial Studies.","No substantive changes",no,="39.06","Theological and Ministerial Studies."
="39.0601","Theology/Theological Studies.","No substantive changes",no,="39.0601","Theology/Theological Studies."
="39.0602","Divinity/Ministry (BD, MDiv.)","No substantive changes",no,="39.0602","Divinity/Ministry."
="39.0604","Pre-Theology/Pre-Ministerial Studies.","No substantive changes",no,="39.0604","Pre-Theology/Pre-Ministerial Studies."
="39.0605","Rabbinical Studies (M.H.L./Rav)","No substantive changes",no,="39.0605","Rabbinical Studies."
="39.0606","Talmudic Studies.","No substantive changes",no,="39.0606","Talmudic Studies."
="39.0699","Theological and Ministerial Studies, Other.","No substantive changes",no,="39.0699","Theological and Ministerial Studies, Other."
="39.07","Pastoral Counseling and Specialized Ministries.","No substantive changes",no,="39.07","Pastoral Counseling and Specialized Ministries."
="39.0701","Pastoral Studies/Counseling.","No substantive changes",no,="39.0701","Pastoral Studies/Counseling."
="39.0702","Youth Ministry.","No substantive changes",no,="39.0702","Youth Ministry."
"","","New",no,="39.0703","Urban Ministry."
"","","New",no,="39.0704","Women's Ministry."
"","","New",no,="39.0705","Lay Ministry."
="39.0799","Pastoral Counseling and Specialized Ministries, Other.","No substantive changes",no,="39.0799","Pastoral Counseling and Specialized Ministries, Other."
="39.99","Theology and Religious Vocations, Other.","No substantive changes",no,="39.99","Theology and Religious Vocations, Other."
="39.9999","Theology and Religious Vocations, Other.","No substantive changes",no,="39.9999","Theology and Religious Vocations, Other."
="40","PHYSICAL SCIENCES.","No substantive changes",no,="40","PHYSICAL SCIENCES."
="40.01","Physical Sciences.","No substantive changes",no,="40.01","Physical Sciences."
="40.0101","Physical Sciences.","No substantive changes",no,="40.0101","Physical Sciences."
="40.02","Astronomy and Astrophysics.","No substantive changes",no,="40.02","Astronomy and Astrophysics."
="40.0201","Astronomy.","No substantive changes",no,="40.0201","Astronomy."
="40.0202","Astrophysics.","No substantive changes",no,="40.0202","Astrophysics."
="40.0203","Planetary Astronomy and Science.","No substantive changes",no,="40.0203","Planetary Astronomy and Science."
="40.0299","Astronomy and Astrophysics, Other.","No substantive changes",no,="40.0299","Astronomy and Astrophysics, Other."
="40.04","Atmospheric Sciences and Meteorology.","No substantive changes",no,="40.04","Atmospheric Sciences and Meteorology."
="40.0401","Atmospheric Sciences and Meteorology, General.","No substantive changes",no,="40.0401","Atmospheric Sciences and Meteorology, General."
="40.0402","Atmospheric Chemistry and Climatology.","No substantive changes",no,="40.0402","Atmospheric Chemistry and Climatology."
="40.0403","Atmospheric Physics and Dynamics.","No substantive changes",no,="40.0403","Atmospheric Physics and Dynamics."
="40.0404","Meteorology.","No substantive changes",no,="40.0404","Meteorology."
="40.0499","Atmospheric Sciences and Meteorology, Other.","No substantive changes",no,="40.0499","Atmospheric Sciences and Meteorology, Other."
="40.05","Chemistry.","No substantive changes",no,="40.05","Chemistry."
="40.0501","Chemistry, General.","No substantive changes",no,="40.0501","Chemistry, General."
="40.0502","Analytical Chemistry.","No substantive changes",no,="40.0502","Analytical Chemistry."
="40.0503","Inorganic Chemistry.","No substantive changes",no,="40.0503","Inorganic Chemistry."
="40.0504","Organic Chemistry.","No substantive changes",yes,="40.0504","Organic Chemistry."
="40.0506","Physical and Theoretical Chemistry.","No substantive changes",yes,="40.0506","Physical Chemistry."
="40.0507","Polymer Chemistry.","No substantive changes",no,="40.0507","Polymer Chemistry."
="40.0508","Chemical Physics.","No substantive changes",yes,="40.0508","Chemical Physics."
"","","New",no,="40.0509","Environmental Chemistry."
"","","New",no,="40.0510","Forensic Chemistry."
"","","New",no,="40.0511","Theoretical Chemistry."
="40.0599","Chemistry, Other.","No substantive changes",no,="40.0599","Chemistry, Other."
="40.06","Geological and Earth Sciences/Geosciences.","No substantive changes",no,="40.06","Geological and Earth Sciences/Geosciences."
="40.0601","Geology/Earth Science, General.","No substantive changes",no,="40.0601","Geology/Earth Science, General."
="40.0602","Geochemistry.","No substantive changes",no,="40.0602","Geochemistry."
="40.0603","Geophysics and Seismology.","No substantive changes",no,="40.0603","Geophysics and Seismology."
="40.0604","Paleontology.","No substantive changes",no,="40.0604","Paleontology."
="40.0605","Hydrology and Water Resources Science.","No substantive changes",no,="40.0605","Hydrology and Water Resources Science."
="40.0606","Geochemistry and Petrology.","No substantive changes",no,="40.0606","Geochemistry and Petrology."
="40.0607","Oceanography, Chemical and Physical.","No substantive changes",no,="40.0607","Oceanography, Chemical and Physical."
="40.0699","Geological and Earth Sciences/Geosciences, Other.","No substantive changes",no,="40.0699","Geological and Earth Sciences/Geosciences, Other."
="40.08","Physics.","No substantive changes",no,="40.08","Physics."
="40.0801","Physics, General.","No substantive changes",no,="40.0801","Physics, General."
="40.0802","Atomic/Molecular Physics.","No substantive changes",yes,="40.0802","Atomic/Molecular Physics."
="40.0804","Elementary Particle Physics.","No substantive changes",no,="40.0804","Elementary Particle Physics."
="40.0805","Plasma and High-Temperature Physics.","No substantive changes",no,="40.0805","Plasma and High-Temperature Physics."
="40.0806","Nuclear Physics.","No substantive changes",yes,="40.0806","Nuclear Physics."
="40.0807","Optics/Optical Sciences.","No substantive changes",no,="40.0807","Optics/Optical Sciences."
="40.0808","Solid State and Low-Temperature Physics.","No substantive changes",yes,="40.0808","Condensed Matter and Materials Physics."
="40.0809","Acoustics.","No substantive changes",no,="40.0809","Acoustics."
="40.0810","Theoretical and Mathematical Physics.","No substantive changes",no,="40.0810","Theoretical and Mathematical Physics."
="40.0899","Physics, Other.","No substantive changes",no,="40.0899","Physics, Other."
"","","New",no,="40.1002","Materials Chemistry."
"","","New",no,="40.1099","Materials Sciences, Other."
="40.99","Physical Sciences, Other.","No substantive changes",no,="40.99","Physical Sciences, Other."
="40.9999","Physical Sciences, Other.","No substantive changes",no,="40.9999","Physical Sciences, Other."
="41","SCIENCE TECHNOLOGIES/TECHNICIANS.","No substantive changes",no,="41","SCIENCE TECHNOLOGIES/TECHNICIANS."
"","","New",no,="41.00","Science Technologies/Technicians, General."
"","","New",no,="41.0000","Science Technologies/Technicians, General."
="41.01","Biology Technician/Biotechnology Laboratory Technician.","No substantive changes",no,="41.01","Biology Technician/Biotechnology Laboratory Technician."
="41.0101","Biology Technician/Biotechnology Laboratory Technician.","No substantive changes",no,="41.0101","Biology Technician/Biotechnology Laboratory Technician."
="41.02","Nuclear and Industrial Radiologic Technologies/Technicians.","No substantive changes",no,="41.02","Nuclear and Industrial Radiologic Technologies/Technicians."
="41.0204","Industrial Radiologic Technology/Technician.","No substantive changes",no,="41.0204","Industrial Radiologic Technology/Technician."
="41.0205","Nuclear/Nuclear Power Technology/Technician.","No substantive changes",no,="41.0205","Nuclear/Nuclear Power Technology/Technician."
="41.0299","Nuclear and Industrial Radiologic Technologies/Technicians, Other.","No substantive changes",no,="41.0299","Nuclear and Industrial Radiologic Technologies/Technicians, Other."
="41.03","Physical Science Technologies/Technicians.","No substantive changes",no,="41.03","Physical Science Technologies/Technicians."
="41.0301","Chemical Technology/Technician.","No substantive changes",no,="41.0301","Chemical Technology/Technician."
"","","New",no,="41.0303","Chemical Process Technology."
="41.0399","Physical Science Technologies/Technicians, Other.","No substantive changes",no,="41.0399","Physical Science Technologies/Technicians, Other."
="41.99","Science Technologies/Technicians, Other.","No substantive changes",no,="41.99","Science Technologies/Technicians, Other."
="41.9999","Science Technologies/Technicians, Other.","No substantive changes",no,="41.9999","Science Technologies/Technicians, Other."
="42","PSYCHOLOGY.","No substantive changes",no,="42","PSYCHOLOGY."
="42.01","Psychology, General.","No substantive changes",no,="42.01","Psychology, General."
="42.0101","Psychology, General.","No substantive changes",no,="42.0101","Psychology, General."
="42.02","Clinical Psychology.","Deleted",no,="42.02","Deleted"
="42.0201","Clinical Psychology.","Moved to",no,="42.2801","Clinical Psychology."
="42.03","Cognitive Psychology and Psycholinguistics.","Deleted",no,="42.03","Deleted"
="42.0301","Cognitive Psychology and Psycholinguistics.","Moved to",no,="42.2701","Cognitive Psychology and Psycholinguistics."
="42.04","Community Psychology.","Deleted",no,="42.04","Deleted"
="42.0401","Community Psychology.","Moved to",no,="42.2802","Community Psychology."
="42.05","Comparative Psychology.","Deleted",no,="42.05","Deleted"
="42.0501","Comparative Psychology.","Moved to",no,="42.2702","Comparative Psychology."
="42.06","Counseling Psychology.","Deleted",no,="42.06","Deleted"
="42.0601","Counseling Psychology.","Moved to",no,="42.2803","Counseling Psychology."
="42.07","Developmental and Child Psychology.","Deleted",no,="42.07","Deleted"
="42.0701","Developmental and Child Psychology.","Moved to",no,="42.2703","Developmental and Child Psychology."
="42.08","Experimental Psychology.","Deleted",no,="42.08","Deleted"
="42.0801","Experimental Psychology.","Moved to",no,="42.2704","Experimental Psychology."
="42.09","Industrial and Organizational Psychology.","Deleted",no,="42.09","Deleted"
="42.0901","Industrial and Organizational Psychology.","Moved to",no,="42.2804","Industrial and Organizational Psychology."
="42.10","Personality Psychology.","Deleted",no,="42.10","Deleted"
="42.1001","Personality Psychology.","Moved to",no,="42.2705","Personality Psychology."
="42.11","Physiological Psychology/Psychobiology.","Deleted",no,="42.11","Deleted"
="42.1101","Physiological Psychology/Psychobiology.","Moved to",no,="42.2706","Physiological Psychology/Psychobiology."
="42.16","Social Psychology.","Deleted",no,="42.16","Deleted"
="42.1601","Social Psychology.","Moved to",no,="42.2707","Social Psychology."
="42.17","School Psychology.","Deleted",no,="42.17","Deleted"
="42.1701","School Psychology.","Moved to",no,="42.2805","School Psychology."
="42.18","Educational Psychology.","Deleted",no,="42.18","Deleted"
="42.1801","Educational Psychology.","Moved to",no,="42.2806","Educational Psychology."
="42.19","Psychometrics and Quantitative Psychology.","Deleted",no,="42.19","Deleted"
="42.1901","Psychometrics and Quantitative Psychology.","Moved to",no,="42.2708","Psychometrics and Quantitative Psychology."
="42.20","Clinical Child Psychology.","Deleted",no,="42.20","Deleted"
="42.2001","Clinical Child Psychology.","Moved to",no,="42.2807","Clinical Child Psychology."
="42.21","Environmental Psychology.","Deleted",no,="42.21","Deleted"
="42.2101","Environmental Psychology.","Moved to",no,="42.2808","Environmental Psychology."
="42.22","Geropsychology.","Deleted",no,="42.22","Deleted"
="42.2201","Geropsychology.","Moved to",no,="42.2809","Geropsychology."
="42.23","Health Psychology.","Deleted",no,="42.23","Deleted"
="42.2301","Health/Medical Psychology.","Moved to",no,="42.2810","Health/Medical Psychology."
="42.24","Psychopharmacology.","Deleted",no,="42.24","Deleted"
="42.2401","Psychopharmacology.","Moved to",no,="42.2709","Psychopharmacology."
="42.25","Family Psychology.","Deleted",no,="42.25","Deleted"
="42.2501","Family Psychology.","Moved to",no,="42.2811","Family Psychology."
="42.26","Forensic Psychology.","Deleted",no,="42.26","Deleted"
="42.2601","Forensic Psychology.","Moved to",no,="42.2812","Forensic Psychology."
"","","New",no,="42.27","Research and Experimental Psychology."
"","","New",no,="42.2799","Research and Experimental Psychology, Other."
"","","New",no,="42.28","Clinical, Counseling and Applied Psychology."
"","","New",no,="42.2813","Applied Psychology."
"","","New",no,="42.2814","Applied Behavior Analysis."
"","","New",no,="42.2899","Clinical, Counseling and Applied Psychology, Other."
="42.99","Psychology, Other.","No substantive changes",no,="42.99","Psychology, Other."
="42.9999","Psychology, Other.","No substantive changes",no,="42.9999","Psychology, Other."
="43","SECURITY AND PROTECTIVE SERVICES.","No substantive changes",yes,="43","HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES."
="43.01","Criminal Justice and Corrections.","No substantive changes",no,="43.01","Criminal Justice and Corrections."
="43.0102","Corrections.","No substantive changes",no,="43.0102","Corrections."
="43.0103","Criminal Justice/Law Enforcement Administration.","No substantive changes",yes,="43.0103","Criminal Justice/Law Enforcement Administration."
="43.0104","Criminal Justice/Safety Studies.","No substantive changes",no,="43.0104","Criminal Justice/Safety Studies."
="43.0106","Forensic Science and Technology.","No substantive changes",yes,="43.0106","Forensic Science and Technology."
="43.0107","Criminal Justice/Police Science.","No substantive changes",no,="43.0107","Criminal Justice/Police Science."
="43.0109","Security and Loss Prevention Services.","No substantive changes",no,="43.0109","Security and Loss Prevention Services."
="43.0110","Juvenile Corrections.","No substantive changes",no,="43.0110","Juvenile Corrections."
="43.0111","Criminalistics and Criminal Science.","No substantive changes",no,="43.0111","Criminalistics and Criminal Science."
="43.0112","Securities Services Administration/Management.","No substantive changes",no,="43.0112","Securities Services Administration/Management."
="43.0113","Corrections Administration.","No substantive changes",no,="43.0113","Corrections Administration."
"","","New",no,="43.0114","Law Enforcement Investigation and Interviewing."
"","","New",no,="43.0115","Law Enforcement Record-Keeping and Evidence Management."
"","","New",no,="43.0116","Cyber/Computer Forensics and Counterterrorism."
"","","New",no,="43.0117","Financial Forensics and Fraud Investigation."
"","","New",no,="43.0118","Law Enforcement Intelligence Analysis."
"","","New",no,="43.0119","Critical Incident Response/Special Police Operations."
"","","New",no,="43.0120","Protective Services Operations."
"","","New",no,="43.0121","Suspension and Debarment Investigation."
"","","New",no,="43.0122","Maritime Law Enforcement."
"","","New",no,="43.0123","Cultural/Archaelogical Resources Protection."
="43.0199","Corrections and Criminal Justice, Other.","No substantive changes",no,="43.0199","Corrections and Criminal Justice, Other."
="43.02","Fire Protection.","No substantive changes",no,="43.02","Fire Protection."
="43.0201","Fire Protection and Safety Technology/Technician.","No substantive changes",yes,="43.0201","Fire Prevention and Safety Technology/Technician."
="43.0202","Fire Services Administration.","No substantive changes",yes,="43.0202","Fire Services Administration."
="43.0203","Fire Science/Fire-fighting.","No substantive changes",yes,="43.0203","Fire Science/Fire-fighting."
"","","New",no,="43.0204","Fire Systems Technology."
"","","New",no,="43.0205","Fire/Arson Investigation and Prevention."
"","","New",no,="43.0206","Wildland/Forest Firefighting and Investigation."
="43.0299","Fire Protection, Other.","No substantive changes",no,="43.0299","Fire Protection, Other."
"","","New",no,="43.03","Homeland Security."
"","","New",no,="43.0301","Homeland Security."
"","","New",no,="43.0302","Crisis/Emergency/Disaster Management."
"","","New",no,="43.0303","Critical Infrastructure Protection."
"","","New",no,="43.0304","Terrorism and Counterterrorism Operations."
"","","New",no,="43.0399","Homeland Security, Other."
="43.99","Security and Protective Services, Other.","No substantive changes",yes,="43.99","Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
="43.9999","Security and Protective Services, Other.","No substantive changes",yes,="43.9999","Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other."
="44","PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.","No substantive changes",no,="44","PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS."
="44.00","Human Services, General.","No substantive changes",no,="44.00","Human Services, General."
="44.0000","Human Services, General.","No substantive changes",no,="44.0000","Human Services, General."
="44.02","Community Organization and Advocacy.","No substantive changes",no,="44.02","Community Organization and Advocacy."
="44.0201","Community Organization and Advocacy.","No substantive changes",no,="44.0201","Community Organization and Advocacy."
="44.04","Public Administration.","No substantive changes",no,="44.04","Public Administration."
="44.0401","Public Administration.","No substantive changes",no,="44.0401","Public Administration."
="44.05","Public Policy Analysis.","No substantive changes",no,="44.05","Public Policy Analysis."
="44.0501","Public Policy Analysis.","No substantive changes",yes,="44.0501","Public Policy Analysis, General."
"","","New",no,="44.0502","Education Policy Analysis."
"","","New",no,="44.0503","Health Policy Analysis."
"","","New",no,="44.0504","International Policy Analysis."
"","","New",no,="44.0599","Public Policy Analysis, Other."
="44.07","Social Work.","No substantive changes",no,="44.07","Social Work."
="44.0701","Social Work.","No substantive changes",no,="44.0701","Social Work."
="44.0702","Youth Services/Administration.","No substantive changes",no,="44.0702","Youth Services/Administration."
="44.0799","Social Work, Other.","No substantive changes",no,="44.0799","Social Work, Other."
="44.99","Public Administration and Social Service Professions, Other.","No substantive changes",no,="44.99","Public Administration and Social Service Professions, Other."
="44.9999","Public Administration and Social Service Professions, Other.","No substantive changes",no,="44.9999","Public Administration and Social Service Professions, Other."
="45","SOCIAL SCIENCES.","No substantive changes",no,="45","SOCIAL SCIENCES."
="45.01","Social Sciences, General.","No substantive changes",no,="45.01","Social Sciences, General."
="45.0101","Social Sciences, General.","No substantive changes",no,="45.0101","Social Sciences, General."
"","","New",no,="45.0102","Research Methodology and Quantitative Methods."
="45.02","Anthropology.","No substantive changes",no,="45.02","Anthropology."
="45.0201","Anthropology.","No substantive changes",no,="45.0201","Anthropology."
="45.0202","Physical Anthropology.","No substantive changes",yes,="45.0202","Physical and Biological Anthropology."
"","","New",no,="45.0203","Medical Anthropology."
"","","New",no,="45.0204","Cultural Anthropology."
="45.0299","Anthropology, Other.","No substantive changes",no,="45.0299","Anthropology, Other."
="45.03","Archeology.","No substantive changes",no,="45.03","Archeology."
="45.0301","Archeology.","No substantive changes",no,="45.0301","Archeology."
="45.04","Criminology.","No substantive changes",no,="45.04","Criminology."
="45.0401","Criminology.","No substantive changes",no,="45.0401","Criminology."
="45.05","Demography and Population Studies.","No substantive changes",no,="45.05","Demography and Population Studies."
="45.0501","Demography and Population Studies.","No substantive changes",no,="45.0501","Demography and Population Studies."
="45.06","Economics.","No substantive changes",no,="45.06","Economics."
="45.0601","Economics, General.","No substantive changes",no,="45.0601","Economics, General."
="45.0602","Applied Economics.","No substantive changes",no,="45.0602","Applied Economics."
="45.0603","Econometrics and Quantitative Economics.","No substantive changes",no,="45.0603","Econometrics and Quantitative Economics."
="45.0604","Development Economics and International Development.","No substantive changes",no,="45.0604","Development Economics and International Development."
="45.0605","International Economics.","No substantive changes",no,="45.0605","International Economics."
="45.0699","Economics, Other.","No substantive changes",no,="45.0699","Economics, Other."
="45.07","Geography and Cartography.","No substantive changes",no,="45.07","Geography and Cartography."
="45.0701","Geography.","No substantive changes",no,="45.0701","Geography."
="45.0702","Cartography.","No substantive changes",yes,="45.0702","Geographic Information Science and Cartography."
="45.0799","Geography, Other.","No substantive changes",no,="45.0799","Geography, Other."
="45.09","International Relations and Affairs.","No substantive changes",yes,="45.09","International Relations and National Security Studies."
="45.0901","International Relations and Affairs.","No substantive changes",yes,="45.0901","International Relations and Affairs."
"","","New",no,="45.0902","National Security Policy Studies."
"","","New",no,="45.0999","International Relations and National Security Studies, Other."
="45.10","Political Science and Government.","No substantive changes",no,="45.10","Political Science and Government."
="45.1001","Political Science and Government, General.","No substantive changes",no,="45.1001","Political Science and Government, General."
="45.1002","American Government and Politics (United States).","No substantive changes",no,="45.1002","American Government and Politics (United States)."
="45.1003","Canadian Government and Politics.","No substantive changes",no,="45.1003","Canadian Government and Politics."
"","","New",no,="45.1004","Political Economy."
="45.1099","Political Science and Government, Other.","No substantive changes",no,="45.1099","Political Science and Government, Other."
="45.11","Sociology.","No substantive changes",no,="45.11","Sociology."
="45.1101","Sociology.","No substantive changes",no,="45.1101","Sociology."
="45.12","Urban Studies/Affairs.","No substantive changes",no,="45.12","Urban Studies/Affairs."
="45.1201","Urban Studies/Affairs.","No substantive changes",no,="45.1201","Urban Studies/Affairs."
"","","New",no,="45.13","Sociology and Anthropology."
"","","New",no,="45.1301","Sociology and Anthropology."
"","","New",no,="45.14","Rural Sociology."
"","","New",no,="45.1401","Rural Sociology."
="45.99","Social Sciences, Other.","No substantive changes",no,="45.99","Social Sciences, Other."
="45.9999","Social Sciences, Other.","No substantive changes",no,="45.9999","Social Sciences, Other."
="46","CONSTRUCTION TRADES.","No substantive changes",no,="46","CONSTRUCTION TRADES."
="46.00","Construction Trades, General.","No substantive changes",no,="46.00","Construction Trades, General."
="46.0000","Construction Trades, General.","No substantive changes",no,="46.0000","Construction Trades, General."
="46.01","Mason/Masonry.","No substantive changes",no,="46.01","Mason/Masonry."
="46.0101","Mason/Masonry.","No substantive changes",no,="46.0101","Mason/Masonry."
="46.02","Carpenters.","No substantive changes",no,="46.02","Carpenters."
="46.0201","Carpentry/Carpenter.","No substantive changes",no,="46.0201","Carpentry/Carpenter."
="46.03","Electrical and Power Transmission Installers.","No substantive changes",no,="46.03","Electrical and Power Transmission Installers."
="46.0301","Electrical and Power Transmission Installation/Installer, General.","No substantive changes",no,="46.0301","Electrical and Power Transmission Installation/Installer, General."
="46.0302","Electrician.","No substantive changes",no,="46.0302","Electrician."
="46.0303","Lineworker.","No substantive changes",no,="46.0303","Lineworker."
="46.0399","Electrical and Power Transmission Installers, Other.","No substantive changes",no,="46.0399","Electrical and Power Transmission Installers, Other."
="46.04","Building/Construction Finishing, Management, and Inspection.","No substantive changes",no,="46.04","Building/Construction Finishing, Management, and Inspection."
="46.0401","Building/Property Maintenance and Management.","No substantive changes",yes,="46.0401","Building/Property Maintenance."
="46.0402","Concrete Finishing/Concrete Finisher.","No substantive changes",no,="46.0402","Concrete Finishing/Concrete Finisher."
="46.0403","Building/Home/Construction Inspection/Inspector.","No substantive changes",no,="46.0403","Building/Home/Construction Inspection/Inspector."
="46.0404","Drywall Installation/Drywaller.","No substantive changes",no,="46.0404","Drywall Installation/Drywaller."
="46.0406","Glazier.","No substantive changes",no,="46.0406","Glazier."
="46.0408","Painting/Painter and Wall Coverer.","No substantive changes",no,="46.0408","Painting/Painter and Wall Coverer."
="46.0410","Roofer.","No substantive changes",no,="46.0410","Roofer."
