CIPCODE,CIPTitle,Discipline,Historical Categories,Associates, Bachelors,Masters,Doctoral
39.0699,"Theological and Ministerial Studies, Other",Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.0701,Pastoral Studies/Counseling,Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.0702,Youth Ministry,Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.0703,Urban Ministry,Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.0704,Women's Ministry,Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.0705,Lay Ministry,Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.0799,"Pastoral Counseling and Specialized Ministries, Other",Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
39.9999,"Theology and Religious Vocations, Other",Religion and Theology,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
40.0101,Physical Sciences,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0201,Astronomy,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0202,Astrophysics,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0203,Planetary Astronomy and Science,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0299,"Astronomy and Astrophysics, Other",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0401,"Atmospheric Sciences and Meteorology, General",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0403,Atmospheric Physics and Dynamics,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0404,Meteorology,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0499,"Atmospheric Sciences and Meteorology, Other",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0501,"Chemistry, General",Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0502,Analytical Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0503,Inorganic Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0504,Organic Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0506,Physical Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0507,Polymer Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0508,Chemical Physics,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0509,Environmental Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.051,Forensic Chemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0511,Theoretical Chemistry--NEW,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0599,"Chemistry, Other",Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0601,"Geology/Earth Science, General",Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0602,Geochemistry,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0603,Geophysics and Seismology,Chemistry,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0604,Paleontology,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0605,Hydrology and Water Resources Science,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0606,Geochemistry and Petrology,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0607,"Oceanography, Chemical and Physical",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0699,"Geological and Earth Sciences/Geosciences, Other",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0701,Metallurgy,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0703,Earth and Planetary Sciences,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0801,"Physics, General",Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0802,Atomic/Molecular Physics,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0804,Elementary Particle Physics,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0806,Nuclear Physics,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0807,Optics/Optical Sciences,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0808,Condensed Matter and Materials Physics,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0809,Acoustics,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.081,Theoretical and Mathematical Physics,Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.0899,"Physics, Other",Physics,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.1001,Materials Science,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.1002,Materials Chemistry,Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.1099,"Materials Sciences, Other",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
40.9999,"Physical Sciences, Other",Physical Science,,Health/Medical & Natural Sciences,Natural Sciences,Natural Sciences,Natural Sciences
41,"Science Technologies/Technicians, General",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0101,Biology Technician/Biotechnology Laboratory Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0204,Industrial Radiologic Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0205,Nuclear/Nuclear Power Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians,  Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0301,Chemical Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0303,Chemical Process Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.0399,"Physical Science Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
41.9999,"Science Technologies/Technicians, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
42.0101,"Psychology, General",Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2701,Cognitive Psychology and Psycholinguistics,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2702,Comparative Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2703,Developmental and Child Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2704,Experimental Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2705,Personality Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2706,Physiological Psychology/Psychobiology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2707,Social Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2708,Psychometrics and Quantitative Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2709,Psychopharmacology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2799,"Research and Experimental Psychology, Other",Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2801,Clinical Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2802,Community Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2803,Counseling Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2804,Industrial and Organizational Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2805,School Psychology,Education,,Professional/Vocational,Education,Education,Education
42.2806,Educational Psychology,Education,,Professional/Vocational,Education,Education,Education
42.2807,Clinical Child Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2808,Environmental Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2809,Geropsychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.281,Health/Medical Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2811,Family Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2812,Forensic Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2813,Applied Psychology,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2814,Applied Behavior Analysis,Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.2899,"Clinical, Counseling and Applied Psychology, Other",Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
42.9999,"Psychology, Other",Psychology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
43.0102,Corrections,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0103,Criminal Justice/Law Enforcement Administration,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0104,Criminal Justice/Safety Studies,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0106,Forensic Science and Technology,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0107,Criminal Justice/Police Science,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0109,Security and Loss Prevention Services,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.011,Juvenile Corrections,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0111,Criminalistics and Criminal Science,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0112,Securities Services Administration/Management,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0113,Corrections Administration,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0114,Law Enforcement Investigation and Interviewing,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0115,Law Enforcement Record-Keeping and Evidence Management,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0116,Cyber/Computer Forensics and Counterterrorism,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0117,Financial Forensics and Fraud Investigation,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0118,Law Enforcement Intelligence Analysis,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0119,Critical Incident Response/Special Police Operations,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.012,Protective Services Operations--NEW,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0199,"Corrections and Criminal Justice, Other",Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0201,Fire Prevention and Safety Technology/Technician,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0202,Fire Services Administration,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0203,Fire Science/Firefighting,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0204,Fire Systems Technology,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0205,Fire/Arson Investigation and Prevention,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0206,Wildland/Forest Firefighting and Investigation,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0299,"Fire Protection, Other",Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0301,Homeland Security,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0302,Crisis/Emergency/Disaster Management,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0303,Critical Infrastructure Protection,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0304,Terrorism and Counterterrorism Operations,Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.0399,"Homeland Security, Other",Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
43.9999,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",Criminal Justice,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
44.0201,Community Organization and Advocacy,General,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
44.0401,Public Administration,Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
44.0501,"Public Policy Analysis, General",Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
44.0502,Education Policy Analysis,Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
44.0503,Health Policy Analysis,Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
44.0504,International Policy Analysis,Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
44.0599,"Public Policy Analysis, Other",Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
44.0701,Social Work,Public Administration,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
44.0702,Youth Services/Administration,Public Administration,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
44.0799,"Social Work, Other",Public Administration,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
44.9999,"Public Administration and Social Service Professions, Other",Public Administration,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0101,"Social Sciences, General",General,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0102,Research Methodology and Quantitative Methods,General,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0201,Anthropology,Anthropology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0202,Physical and Biological Anthropology,Anthropology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0203,Medical Anthropology,Anthropology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0204,Cultural Anthropology,Anthropology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0299,"Anthropology, Other",Anthropology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0301,Archeology,Archaeology,,Humanities,Humanities,Humanities,Humanities
45.0401,Criminology,Criminology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0501,Demography and Population Studies,Sociology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0601,"Economics, General",Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0602,Applied Economics,Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0603,Econometrics and Quantitative Economics,Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0604,Development Economics and International Development,Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0605,International Economics,Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0699,"Economics, Other",Economics,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0701,Geography,Geography,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0702,Geographic Information Science and Cartography,Geography,,Professional/Vocational,Engineering,Engineering,Engineering
45.0799,"Geography, Other",Geography,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0901,International Relations and Affairs,International Relations,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0902,National Security Policy Studies,International Relations,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.0999,"International Relations and National Security Studies, Other",International Relations,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1001,"Political Science and Government, General",Political Science,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1002,American Government and Politics (United States),Political Science,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1004,Political Economy,Political Science,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1099,"Political Science and Government, Other",Political Science,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1101,Sociology,Sociology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1201,Urban Studies/Affairs,Sociology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1301,Sociology and Anthropology,Sociology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.1401,Rural Sociology,Sociology,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
45.9999,"Social Sciences, Other",General,,Other/Unknown,Social & Behavioral Sciences,Social & Behavioral Sciences,Social & Behavioral Sciences
46.0101,Mason/Masonry,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0201,Carpentry/Carpenter,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0301,"Electrical and Power Transmission Installation/Installer, General",Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0302,Electrician,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0303,Lineworker,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0399,"Electrical and Power Transmission Installers, Other",Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0401,Building/Property Maintenance,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0402,Concrete Finishing/Concrete Finisher,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0403,Building/Home/Construction Inspection/Inspector,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0404,Drywall Installation/Drywaller,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0406,Glazier,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0408,Painting/Painter and Wall Coverer,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.041,Roofer,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0411,Metal Building Assembly/Assembler,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0412,Building/Construction Site Management/Manager,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0413,"Carpet, Floor, and Tile Worker",Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0415,Building Construction Technology,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0499,"Building/Construction Finishing, Management, and Inspection, Other",Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0501,Plumber and Pipefitter,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0502,Pipefitting/Pipefitter and Sprinkler Fitter,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0503,Plumbing Technology/Plumber,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0504,Well Drilling/Driller,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0505,Blasting/Blaster,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0588,Plumber and Pipefitter,Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.0599,"Plumbing and Related Water Supply Services, Other",Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
46.9999,"Construction Trades, Other",Skilled Trades,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0101,"Electrical/Electronics Equipment Installation and Repair, General",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0102,Business Machine Repairer,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0103,Communications Systems Installation and Repair Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0104,Computer Installation and Repair Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0105,Industrial Electronics Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0106,Appliance Installation and Repair Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.011,"Security System Installation, Repair, and Inspection Technology/Technician",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0199,"Electrical/Electronics Maintenance and Repair Technology, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0201,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Te",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0302,Heavy Equipment Maintenance Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0303,Industrial Mechanics and Maintenance Technology,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0399,"Heavy/Industrial Equipment Maintenance Technologies, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0401,Instrument Calibration and Repairer,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0402,Gunsmithing/Gunsmith,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0403,Locksmithing and Safe Repair,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0404,Musical Instrument Fabrication and Repair,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0408,Watchmaking and Jewelrymaking,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0409,Parts and Warehousing Operations and Maintenance  Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0499,"Precision Systems Maintenance and Repair Technologies, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.06,"Vehicle Maintenance and Repair Technologies, General",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0603,Autobody/Collision and Repair Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0604,Automobile/Automotive Mechanics Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0605,Diesel Mechanics Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0606,Small Engine Mechanics and Repair Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0607,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0608,Aircraft Powerplant Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0609,Avionics Maintenance Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0611,Motorcycle Maintenance and  Repair Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0613,Medium/Heavy Vehicle and Truck Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0614,Alternative Fuel Vehicle Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0615,Engine Machinist,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0616,Marine Maintenance/Fitter and Ship Repair Technology/Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0617,High Performance and Custom Engine Technician/Mechanic,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0618,Recreation Vehicle (RV) Service Technician,Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
47.0699,"Vehicle Maintenance and Repair Technologies, Other",Technician,,Professional/Vocational,Other/Unknown,Other/Unknown,Other/Unknown
